pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
21.59,-49.53,0.0,top,J121,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,1.27,0.0,top,J122,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-1.27,0.0,top,J123,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-3.81,0.0,top,J124,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-6.35,180.0,top,J125,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-8.89,180.0,top,J126,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-6.35,-49.53,0.0,top,J127,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-3.81,-49.53,0.0,top,J128,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-1.27,-49.53,0.0,top,J129,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-1.27,0.0,top,J130,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,1.27,0.0,top,J131,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,3.81,0.0,top,J132,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-3.81,49.53,0.0,top,J133,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-6.35,49.53,0.0,top,J134,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-8.89,49.53,0.0,top,J135,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-11.43,49.53,0.0,top,J136,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-13.97,49.53,0.0,top,J137,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-16.51,49.53,0.0,top,J138,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
8.89,-31.75,0.0,top,J139,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
8.89,-34.29,0.0,top,J140,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
8.89,-36.83,0.0,top,J141,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
8.89,-39.37,0.0,top,J142,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
2.54,-67.945,0.0,top,J147,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-21.59,-34.29,0.0,top,J148,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-21.59,-31.75,0.0,top,J149,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-21.59,-39.37,0.0,top,J150,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-21.59,-36.83,0.0,top,J151,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
19.05,28.575,0.0,top,J17,,,PinHeader_2x05_P1.27mm_Vertical_SMD,CONNECTOR-DEBUG-SPECIFIC-ARM,smt
-31.75,-21.59,0.0,top,J18,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-46.99,0.0,top,J19,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-22.86,19.05,0.0,top,J2,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-24.13,0.0,top,J20,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-41.91,0.0,top,J21,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
